,numcode,country,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
66,328,Guyana,730193,733854,737316,740189,742218,743163,743107,742537,742162,742495,743705,745638,748096,750749,753362,755883,758410,761033,763893,..
67,332,Haiti,7965548,8111954,8258484,8404396,8549202,8692564,8834739,8976555,9119182,9263409,9409479,9556958,9705130,9852953,9999617,10144890,10288828,10431249,10572029,..
68,340,Honduras,5724587,5855946,5985675,6114534,6243080,6371304,6499001,6626304,6753352,6880181,7007029,7133737,7259470,7383098,7503875,7621414,7736131,7849059,7961680,..
69,348,Hungary,10311238,10290486,10266570,10237530,10210971,10187576,10158608,10129552,10107146,10087065,10071370,10055780,10038188,10022650,10000023,9971727,9920362,9893082,9861673,..
70,352,Iceland,268916,271128,274047,277381,281205,284968,287523,289521,292074,296734,303782,311566,317414,318499,318041,319014,320716,323764,327589,..
71,356,India,979290432,997817250,1016402907,1034976626,1053481072,1071888190,1090189358,1108369577,1126419321,1144326293,1162088305,1179685631,1197070109,1214182182,1230984504,1247446011,1263589639,1279498874,1295291543,..
72,360,Indonesia,199926615,202853850,205753493,208644079,211540428,214448301,217369087,220307809,223268606,226254703,229263980,232296830,235360765,238465165,241613126,244808254,248037853,251268276,254454778,..
73,368,Iraq,20855408,21519356,22200835,22888600,23574751,24258794,24943793,25630426,26320530,27017712,27716983,28423538,29163327,29970634,30868156,31810191,32780975,33781385,34812326,..
74,372,Ireland,3637510,3674171,3712696,3754786,3805174,3866243,3931947,3996521,4070262,4159914,4273591,4398942,4489544,4535375,4560155,4576794,4586897,4598294,4612719,..
75,376,Israel,5692000,5836000,5971000,6125000,6289000,6439000,6570000,6689700,6809000,6930100,7053700,7180100,7308800,7485600,7623600,7765800,7910500,8059500,8215300,..
76,380,Italy,56860281,56890372,56906744,56916317,56942108,56974100,57059007,57313203,57685327,57969484,58143979,58438310,58826731,59095365,59277417,59379449,59539717,60233948,61336387,..
77,388,Jamaica,2509923,2534069,2556780,2574289,2589389,2605556,2615253,2624695,2634145,2643601,2653042,2662481,2671934,2681386,2690824,2699838,2707805,2714734,2721252,..
78,392,Japan,125757000,126057000,126400000,126631000,126843000,127149000,127445000,127718000,127761000,127773000,127854000,128001000,128063000,128047000,128070000,127817277,127561489,127338621,127131800,..
79,400,Jordan,4325000,4444000,4564000,4680000,4797000,4917000,5038000,5164000,5290000,5411000,5536000,5661000,5786000,5915000,6046000,6181000,6318000,6460000,6607000,..
80,398,Kazakhstan,15577894,15333703,15071300,14928426,14883626,14858335,14858948,14909018,15012985,15147029,15308084,15484192,15674000,16092701,16321581,16556600,16791425,17035275,17289111,..
81,404,Kenya,28116027,28842245,29564614,30301240,31065820,31863280,32691980,33551079,34437460,35349040,36286015,37250540,38244442,39269988,40328313,41419954,42542978,43692881,44863583,..
82,296,Kiribati,78907,80190,81556,82969,84406,85858,87343,88892,90545,92329,94257,96310,98437,100566,102648,104662,106620,108544,110470,..
83,414,Kuwait,1637906,1686256,1766247,1853152,1929470,1990022,2042215,2095993,2166344,2263604,2389498,2538591,2705290,2881243,3059473,3239181,3419581,3593689,3753121,..
84,428,Latvia,2457222,2432851,2410019,2390482,2367550,2337170,2310173,2287955,2263122,2238799,2218357,2200325,2177322,2141669,2097555,2059709,2034319,2012647,1990351,..
85,422,Lebanon,3070974,3092684,3113960,3156661,3235380,3359875,3522842,3701464,3863271,3986865,4057041,4085426,4109389,4181742,4337156,4388637,4440728,4493438,4546774,..
86,426,Lesotho,1779201,1801695,1821632,1839631,1856225,1871489,1885488,1898778,1912042,1925844,1940345,1955656,1972194,1990413,2010586,2032950,2057331,2083061,2109197,..
87,430,Liberia,2197801,2365290,2558085,2741755,2891968,2998770,3070673,3124222,3184643,3269786,3384804,3522337,3672782,3821498,3957990,4079574,4190155,4293692,4396554,..
88,438,Liechtenstein,31327,31842,32357,32843,33282,33663,33995,34290,34569,34852,35141,35431,35721,36004,36276,36537,36791,37040,37286,..
89,440,Lithuania,3601613,3575137,3549331,3524238,3499536,3470818,3443067,3415213,3377075,3322528,3269909,3231294,3198231,3162916,3097282,3028115,2987773,2957689,2929323,..
90,442,Luxembourg,414225,419450,424700,430475,436300,441525,446175,451630,458095,465158,472637,479993,488650,497783,506953,518347,530946,543360,556074,..
91,450,Madagascar,13882646,14329239,14790245,15262817,15744811,16235767,16736029,17245275,17763367,18290394,18826129,19371031,19926798,20495706,21079532,21678867,22293720,22924557,23571713,..
92,454,Malawi,10006767,10260421,10563554,10882543,11193230,11491824,11788731,12090476,12407618,12747846,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126,16695253,..
93,458,Malaysia,21260881,21808125,22358128,22898579,23420751,23920963,24401977,24869423,25332026,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,..
94,462,Maldives,259668,265067,270292,275385,280384,285298,290147,294996,299917,304968,310168,315515,321026,326713,332575,338618,344817,351111,357415,..
95,466,Mali,9901045,10168000,10444822,10736542,11046926,11376094,11723017,12088867,12474857,12881384,13309942,13759226,14223403,14694565,15167286,15639115,16112333,16592097,17086022,..
96,470,Malta,372687,375236,377516,379360,381363,393028,395969,398582,401268,403834,405308,406724,409379,412477,414508,416268,419455,423374,427404,..
97,478,Mauritania,2403779,2476188,2551429,2629806,2711421,2796502,2884672,2974686,3064882,3154087,3241762,3328285,3414552,3501927,3591400,3683221,3777067,3872684,3969625,..
